image_name,breed,species,class_id,species_id,breed_id,split,image_path,bbox_path,trimap_path,has_bbox,has_trimap
american_pit_bull_terrier_158,american_pit_bull_terrier,dog,3,2,3,train,images/dog/american_pit_bull_terrier_158.jpg,annotations/xmls/american_pit_bull_terrier_158.xml,annotations/trimaps/american_pit_bull_terrier_158.png,True,True
american_pit_bull_terrier_12,american_pit_bull_terrier,dog,3,2,3,train,images/dog/american_pit_bull_terrier_12.jpg,annotations/xmls/american_pit_bull_terrier_12.xml,annotations/trimaps/american_pit_bull_terrier_12.png,True,True
Maine_Coon_144,Maine_Coon,cat,21,1,21,train,images/cat/Maine_Coon_144.jpg,annotations/xmls/Maine_Coon_144.xml,annotations/trimaps/Maine_Coon_144.png,True,True
keeshond_128,keeshond,dog,19,2,19,train,images/dog/keeshond_128.jpg,annotations/xmls/keeshond_128.xml,annotations/trimaps/keeshond_128.png,True,True
havanese_119,havanese,dog,17,2,17,train,images/dog/havanese_119.jpg,annotations/xmls/havanese_119.xml,annotations/trimaps/havanese_119.png,True,True
scottish_terrier_147,scottish_terrier,dog,31,2,31,train,images/dog/scottish_terrier_147.jpg,annotations/xmls/scottish_terrier_147.xml,annotations/trimaps/scottish_terrier_147.png,True,True
leonberger_123,leonberger,dog,20,2,20,train,images/dog/leonberger_123.jpg,annotations/xmls/leonberger_123.xml,annotations/trimaps/leonberger_123.png,True,True
Maine_Coon_102,Maine_Coon,cat,21,1,21,train,images/cat/Maine_Coon_102.jpg,annotations/xmls/Maine_Coon_102.xml,annotations/trimaps/Maine_Coon_102.png,True,True
Maine_Coon_161,Maine_Coon,cat,21,1,21,train,images/cat/Maine_Coon_161.jpg,annotations/xmls/Maine_Coon_161.xml,annotations/trimaps/Maine_Coon_161.png,True,True
Russian_Blue_108,Russian_Blue,cat,28,1,28,train,images/cat/Russian_Blue_108.jpg,annotations/xmls/Russian_Blue_108.xml,annotations/trimaps/Russian_Blue_108.png,True,True
Siamese_115,Siamese,cat,33,1,33,train,images/cat/Siamese_115.jpg,annotations/xmls/Siamese_115.xml,annotations/trimaps/Siamese_115.png,True,True
saint_bernard_100,saint_bernard,dog,29,2,29,train,images/dog/saint_bernard_100.jpg,annotations/xmls/saint_bernard_100.xml,annotations/trimaps/saint_bernard_100.png,True,True
Siamese_101,Siamese,cat,33,1,33,train,images/cat/Siamese_101.jpg,annotations/xmls/Siamese_101.xml,annotations/trimaps/Siamese_101.png,True,True
Egyptian_Mau_138,Egyptian_Mau,cat,12,1,12,train,images/cat/Egyptian_Mau_138.jpg,annotations/xmls/Egyptian_Mau_138.xml,annotations/trimaps/Egyptian_Mau_138.png,True,True
american_pit_bull_terrier_117,american_pit_bull_terrier,dog,3,2,3,train,images/dog/american_pit_bull_terrier_117.jpg,annotations/xmls/american_pit_bull_terrier_117.xml,annotations/trimaps/american_pit_bull_terrier_117.png,True,True
basset_hound_142,basset_hound,dog,4,2,4,train,images/dog/basset_hound_142.jpg,annotations/xmls/basset_hound_142.xml,annotations/trimaps/basset_hound_142.png,True,True
chihuahua_122,chihuahua,dog,11,2,11,train,images/dog/chihuahua_122.jpg,annotations/xmls/chihuahua_122.xml,annotations/trimaps/chihuahua_122.png,True,True
keeshond_16,keeshond,dog,19,2,19,train,images/dog/keeshond_16.jpg,annotations/xmls/keeshond_16.xml,annotations/trimaps/keeshond_16.png,True,True
basset_hound_129,basset_hound,dog,4,2,4,train,images/dog/basset_hound_129.jpg,annotations/xmls/basset_hound_129.xml,annotations/trimaps/basset_hound_129.png,True,True
shiba_inu_146,shiba_inu,dog,32,2,32,train,images/dog/shiba_inu_146.jpg,annotations/xmls/shiba_inu_146.xml,annotations/trimaps/shiba_inu_146.png,True,True
havanese_161,havanese,dog,17,2,17,train,images/dog/havanese_161.jpg,annotations/xmls/havanese_161.xml,annotations/trimaps/havanese_161.png,True,True
beagle_117,beagle,dog,5,2,5,train,images/dog/beagle_117.jpg,annotations/xmls/beagle_117.xml,annotations/trimaps/beagle_117.png,True,True
chihuahua_168,chihuahua,dog,11,2,11,train,images/dog/chihuahua_168.jpg,annotations/xmls/chihuahua_168.xml,annotations/trimaps/chihuahua_168.png,True,True
Persian_128,Persian,cat,24,1,24,train,images/cat/Persian_128.jpg,annotations/xmls/Persian_128.xml,annotations/trimaps/Persian_128.png,True,True
British_Shorthair_122,British_Shorthair,cat,10,1,10,train,images/cat/British_Shorthair_122.jpg,annotations/xmls/British_Shorthair_122.xml,annotations/trimaps/British_Shorthair_122.png,True,True
leonberger_171,leonberger,dog,20,2,20,train,images/dog/leonberger_171.jpg,annotations/xmls/leonberger_171.xml,annotations/trimaps/leonberger_171.png,True,True
pug_127,pug,dog,26,2,26,train,images/dog/pug_127.jpg,annotations/xmls/pug_127.xml,annotations/trimaps/pug_127.png,True,True
yorkshire_terrier_168,yorkshire_terrier,dog,37,2,37,train,images/dog/yorkshire_terrier_168.jpg,annotations/xmls/yorkshire_terrier_168.xml,annotations/trimaps/yorkshire_terrier_168.png,True,True
american_pit_bull_terrier_120,american_pit_bull_terrier,dog,3,2,3,train,images/dog/american_pit_bull_terrier_120.jpg,annotations/xmls/american_pit_bull_terrier_120.xml,annotations/trimaps/american_pit_bull_terrier_120.png,True,True
boxer_133,boxer,dog,9,2,9,train,images/dog/boxer_133.jpg,annotations/xmls/boxer_133.xml,annotations/trimaps/boxer_133.png,True,True
saint_bernard_167,saint_bernard,dog,29,2,29,train,images/dog/saint_bernard_167.jpg,annotations/xmls/saint_bernard_167.xml,annotations/trimaps/saint_bernard_167.png,True,True
Sphynx_111,Sphynx,cat,34,1,34,train,images/cat/Sphynx_111.jpg,annotations/xmls/Sphynx_111.xml,annotations/trimaps/Sphynx_111.png,True,True
Bombay_10,Bombay,cat,8,1,8,train,images/cat/Bombay_10.jpg,annotations/xmls/Bombay_10.xml,annotations/trimaps/Bombay_10.png,True,True
Sphynx_162,Sphynx,cat,34,1,34,train,images/cat/Sphynx_162.jpg,annotations/xmls/Sphynx_162.xml,annotations/trimaps/Sphynx_162.png,True,True
shiba_inu_101,shiba_inu,dog,32,2,32,train,images/dog/shiba_inu_101.jpg,annotations/xmls/shiba_inu_101.xml,annotations/trimaps/shiba_inu_101.png,True,True
beagle_125,beagle,dog,5,2,5,train,images/dog/beagle_125.jpg,annotations/xmls/beagle_125.xml,annotations/trimaps/beagle_125.png,True,True
Maine_Coon_142,Maine_Coon,cat,21,1,21,train,images/cat/Maine_Coon_142.jpg,annotations/xmls/Maine_Coon_142.xml,annotations/trimaps/Maine_Coon_142.png,True,True
pomeranian_169,pomeranian,dog,25,2,25,train,images/dog/pomeranian_169.jpg,annotations/xmls/pomeranian_169.xml,annotations/trimaps/pomeranian_169.png,True,True
Siamese_141,Siamese,cat,33,1,33,train,images/cat/Siamese_141.jpg,annotations/xmls/Siamese_141.xml,annotations/trimaps/Siamese_141.png,True,True
pug_130,pug,dog,26,2,26,train,images/dog/pug_130.jpg,annotations/xmls/pug_130.xml,annotations/trimaps/pug_130.png,True,True
scottish_terrier_170,scottish_terrier,dog,31,2,31,train,images/dog/scottish_terrier_170.jpg,annotations/xmls/scottish_terrier_170.xml,annotations/trimaps/scottish_terrier_170.png,True,True
boxer_161,boxer,dog,9,2,9,train,images/dog/boxer_161.jpg,annotations/xmls/boxer_161.xml,annotations/trimaps/boxer_161.png,True,True
yorkshire_terrier_107,yorkshire_terrier,dog,37,2,37,train,images/dog/yorkshire_terrier_107.jpg,annotations/xmls/yorkshire_terrier_107.xml,annotations/trimaps/yorkshire_terrier_107.png,True,True
newfoundland_159,newfoundland,dog,23,2,23,train,images/dog/newfoundland_159.jpg,annotations/xmls/newfoundland_159.xml,annotations/trimaps/newfoundland_159.png,True,True
Persian_122,Persian,cat,24,1,24,train,images/cat/Persian_122.jpg,annotations/xmls/Persian_122.xml,annotations/trimaps/Persian_122.png,True,True
great_pyrenees_129,great_pyrenees,dog,16,2,16,train,images/dog/great_pyrenees_129.jpg,annotations/xmls/great_pyrenees_129.xml,annotations/trimaps/great_pyrenees_129.png,True,True
pomeranian_114,pomeranian,dog,25,2,25,train,images/dog/pomeranian_114.jpg,annotations/xmls/pomeranian_114.xml,annotations/trimaps/pomeranian_114.png,True,True
scottish_terrier_14,scottish_terrier,dog,31,2,31,train,images/dog/scottish_terrier_14.jpg,annotations/xmls/scottish_terrier_14.xml,annotations/trimaps/scottish_terrier_14.png,True,True
Birman_149,Birman,cat,7,1,7,train,images/cat/Birman_149.jpg,annotations/xmls/Birman_149.xml,annotations/trimaps/Birman_149.png,True,True
Sphynx_150,Sphynx,cat,34,1,34,train,images/cat/Sphynx_150.jpg,annotations/xmls/Sphynx_150.xml,annotations/trimaps/Sphynx_150.png,True,True
shiba_inu_112,shiba_inu,dog,32,2,32,train,images/dog/shiba_inu_112.jpg,annotations/xmls/shiba_inu_112.xml,annotations/trimaps/shiba_inu_112.png,True,True
Russian_Blue_122,Russian_Blue,cat,28,1,28,train,images/cat/Russian_Blue_122.jpg,annotations/xmls/Russian_Blue_122.xml,annotations/trimaps/Russian_Blue_122.png,True,True
Sphynx_179,Sphynx,cat,34,1,34,train,images/cat/Sphynx_179.jpg,annotations/xmls/Sphynx_179.xml,annotations/trimaps/Sphynx_179.png,True,True
english_cocker_spaniel_128,english_cocker_spaniel,dog,13,2,13,train,images/dog/english_cocker_spaniel_128.jpg,annotations/xmls/english_cocker_spaniel_128.xml,annotations/trimaps/english_cocker_spaniel_128.png,True,True
