image_name,breed,species,width,height,total_pixels,fg_pixels,boundary_pixels,bg_pixels,fg_pct,boundary_pct,bg_pct
Abyssinian_101,Abyssinian,cat,450,313,140850,15392,99672,25786,10.93,70.76,18.31
Abyssinian_12,Abyssinian,cat,335,500,167500,20782,123480,23238,12.41,73.72,13.87
Abyssinian_128,Abyssinian,cat,500,375,187500,30424,136212,20864,16.23,72.65,11.13
Abyssinian_13,Abyssinian,cat,245,280,68600,18542,40681,9377,27.03,59.3,13.67
Abyssinian_130,Abyssinian,cat,333,500,166500,23665,104778,38057,14.21,62.93,22.86
Abyssinian_135,Abyssinian,cat,333,500,166500,68015,74612,23873,40.85,44.81,14.34
Abyssinian_14,Abyssinian,cat,335,500,167500,34421,103243,29836,20.55,61.64,17.81
Abyssinian_142,Abyssinian,cat,500,433,216500,48665,145402,22433,22.48,67.16,10.36
Abyssinian_158,Abyssinian,cat,500,375,187500,46526,119182,21792,24.81,63.56,11.62
Abyssinian_164,Abyssinian,cat,500,328,164000,8631,147748,7621,5.26,90.09,4.65
Bengal_107,Bengal,cat,500,335,167500,33009,118866,15625,19.71,70.96,9.33
Bengal_109,Bengal,cat,500,334,167000,63909,81948,21143,38.27,49.07,12.66
Bengal_123,Bengal,cat,500,335,167500,17150,138797,11553,10.24,82.86,6.9
Bengal_135,Bengal,cat,300,145,43500,12000,24048,7452,27.59,55.28,17.13
Bengal_142,Bengal,cat,300,225,67500,23382,34208,9910,34.64,50.68,14.68
Bengal_145,Bengal,cat,300,225,67500,11675,49590,6235,17.3,73.47,9.24
Bengal_149,Bengal,cat,300,225,67500,23798,35905,7797,35.26,53.19,11.55
Bengal_16,Bengal,cat,500,333,166500,73099,76385,17016,43.9,45.88,10.22
Bengal_167,Bengal,cat,300,225,67500,20136,41785,5579,29.83,61.9,8.27
Bengal_169,Bengal,cat,300,225,67500,19136,39651,8713,28.35,58.74,12.91
Birman_121,Birman,cat,500,333,166500,74371,71931,20198,44.67,43.2,12.13
Birman_125,Birman,cat,334,500,167000,96613,40013,30374,57.85,23.96,18.19
Birman_142,Birman,cat,500,333,166500,53427,90783,22290,32.09,54.52,13.39
Birman_144,Birman,cat,500,375,187500,72908,99536,15056,38.88,53.09,8.03
Birman_149,Birman,cat,332,500,166000,86956,56944,22100,52.38,34.3,13.31
Birman_15,Birman,cat,281,500,140500,27734,75840,36926,19.74,53.98,26.28
Birman_153,Birman,cat,500,407,203500,139833,49055,14612,68.71,24.11,7.18
