image_id,breed,species,split,width,height,area,aspect_ratio,file_size_bytes,file_size_kb,mean_r,mean_g,mean_b,std_r,std_g,std_b,brightness,contrast,sharpness,size_category,orientation
american_pit_bull_terrier_158,american_pit_bull_terrier,dog,train,190,300,57000,0.6333333333333333,9145,8.9306640625,125.75322807017544,111.22447368421052,87.1549649122807,57.89954926740783,40.94938528750826,38.993362501960526,108.04422222222222,49.3618484204429,423.39320077972707,small,portrait
american_pit_bull_terrier_12,american_pit_bull_terrier,dog,train,342,500,171000,0.684,206660,201.81640625,119.28207602339181,120.5412105263158,88.10961988304093,60.13145624054311,54.36206148218647,52.70814745409639,109.31096881091618,57.80488177375826,7638.852323586745,medium,portrait
Maine_Coon_144,Maine_Coon,cat,train,473,500,236500,0.946,215669,210.6142578125,126.92594503171247,90.76177589852009,69.4225665961945,57.8778680950419,34.724612303013735,31.892194924327377,95.70342917547569,49.202667892865726,1263.2210251350716,medium,square
keeshond_128,keeshond,dog,train,500,333,166500,1.5015015015015014,127839,124.8427734375,101.40691291291292,137.65314714714714,131.2316816816817,47.41059423700064,53.83586689159134,51.299599766578474,123.43058058058058,53.31008179119449,1396.1571518184849,medium,landscape
havanese_119,havanese,dog,train,500,307,153500,1.6286644951140066,158383,154.6708984375,135.04695765472312,130.81325081433224,114.6757980456026,66.11667199845377,64.1902617071438,67.79571052364099,126.845335504886,66.63125137489382,2391.884859934853,medium,landscape
scottish_terrier_147,scottish_terrier,dog,train,500,375,187500,1.3333333333333333,125733,122.7861328125,138.02621866666667,95.18948266666666,83.59094933333333,57.656056847898185,44.59424656820418,41.56288280287239,105.60221688888889,53.80389629568211,4217.007666962963,medium,landscape
leonberger_123,leonberger,dog,train,500,403,201500,1.2406947890818858,147072,143.625,106.14610918114144,100.06671960297767,66.25965756823821,49.565114372682736,48.820515915962865,43.31862478063256,90.82416211745245,50.46532936715895,1802.5841411634963,medium,landscape
Maine_Coon_102,Maine_Coon,cat,train,320,500,160000,0.64,79504,77.640625,134.95313125,117.7502125,107.2451375,77.72116272014298,84.68413580007545,89.47756392027524,119.98282708333333,84.87158878078262,288.38981944444447,medium,portrait
Maine_Coon_161,Maine_Coon,cat,train,500,333,166500,1.5015015015015014,86702,84.669921875,196.8362042042042,185.5042102102102,178.20024024024025,68.71539401868354,79.34457207275995,86.01293212323036,186.84688488488487,78.72302654315239,1988.2989616282948,medium,landscape
Russian_Blue_108,Russian_Blue,cat,train,281,500,140500,0.562,82966,81.021484375,127.9846049822064,125.11342348754448,126.82306049822064,61.27809729286024,63.24847855107546,63.64137574446042,126.64036298932385,62.74225546542302,1250.2275096876238,medium,portrait
Siamese_115,Siamese,cat,train,500,335,167500,1.492537313432836,87908,85.84765625,157.25407164179106,138.02442985074626,116.92353432835822,63.3865729212857,55.89537134245426,55.32809648328405,137.4006786069652,60.60035242773232,877.6967973466005,medium,landscape
saint_bernard_100,saint_bernard,dog,train,500,375,187500,1.3333333333333333,146231,142.8037109375,177.120576,163.19501866666667,156.66786133333332,58.24114009954684,64.01476716914149,67.08886682532302,165.661152,63.79424309649829,3647.800283259259,medium,landscape
Siamese_101,Siamese,cat,train,375,500,187500,0.75,108262,105.724609375,114.423296,125.866656,124.83321066666667,65.09184394757644,72.95985358659689,82.63027406457435,121.70772088888889,74.0899877388533,536.5756728888888,medium,portrait
Egyptian_Mau_138,Egyptian_Mau,cat,train,448,336,150528,1.3333333333333333,41846,40.865234375,137.93247103528913,126.50298283375851,122.4312287414966,65.90679832236329,63.44689790085288,65.434145561771,128.95556087018142,65.2686992072201,1863.2098790036846,medium,landscape
american_pit_bull_terrier_117,american_pit_bull_terrier,dog,train,300,199,59700,1.5075376884422111,9481,9.2587890625,75.73515912897822,73.59241206030151,55.862713567839194,62.89787814698212,60.07299623871419,53.40619585264374,68.39676158570632,59.59608189026092,321.46245300576965,small,landscape
basset_hound_142,basset_hound,dog,train,500,333,166500,1.5015015015015014,77007,75.2021484375,110.04888288288288,118.08437237237237,123.39587987987989,51.60571814245262,48.980725064540984,51.21799350522395,117.17637837837837,50.91120464628103,151.56480880880883,medium,landscape
