image_id,breed,species,split,width,height,area,normalized_area,aspect_ratio,center_x,center_y,xmin,ymin,xmax,ymax,size_category,diagonal,image_width,image_height
american_pit_bull_terrier_158,american_pit_bull_terrier,dog,train,129,131,16899,0.29647368421052633,0.9847328244274809,0.44473684210526315,0.24833333333333332,20,9,149,140,large,183.85320231097418,190,300
american_pit_bull_terrier_12,american_pit_bull_terrier,dog,train,185,142,26270,0.15362573099415205,1.3028169014084507,0.5599415204678363,0.26,99,59,284,201,large,233.21449354617735,342,500
Maine_Coon_144,Maine_Coon,cat,train,311,313,97343,0.4115983086680761,0.9936102236421726,0.5739957716701902,0.351,116,19,427,332,large,441.23689782247357,473,500
keeshond_128,keeshond,dog,train,99,72,7128,0.04281081081081081,1.375,0.587,0.3483483483483483,244,80,343,152,large,122.41323457861898,500,333
havanese_119,havanese,dog,train,150,126,18900,0.12312703583061889,1.1904761904761905,0.71,0.6514657980456026,280,137,430,263,large,195.8979326077741,500,307
scottish_terrier_147,scottish_terrier,dog,train,122,185,22570,0.12037333333333333,0.6594594594594595,0.64,0.38,259,50,381,235,large,221.60550534677608,500,375
leonberger_123,leonberger,dog,train,115,87,10005,0.04965260545905707,1.3218390804597702,0.153,0.1674937965260546,19,24,134,111,large,144.20124826089406,500,403
Maine_Coon_102,Maine_Coon,cat,train,114,144,16416,0.1026,0.7916666666666666,0.665625,0.454,156,155,270,299,large,183.6627343801676,320,500
Maine_Coon_161,Maine_Coon,cat,train,191,204,38964,0.23401801801801803,0.9362745098039216,0.521,0.3993993993993994,165,31,356,235,large,279.45840477609545,500,333
Russian_Blue_108,Russian_Blue,cat,train,199,213,42387,0.3016868327402135,0.9342723004694836,0.35765124555160144,0.345,1,66,200,279,large,291.49614062625255,281,500
Siamese_115,Siamese,cat,train,180,180,32400,0.19343283582089552,1.0,0.658,0.3582089552238806,239,30,419,210,large,254.55844122715712,500,335
saint_bernard_100,saint_bernard,dog,train,198,173,34254,0.182688,1.1445086705202312,0.41,0.4706666666666667,106,90,304,263,large,262.9315500277591,500,375
Siamese_101,Siamese,cat,train,68,78,5304,0.028288,0.8717948717948718,0.4266666666666667,0.334,126,128,194,206,large,103.47946656221224,375,500
Egyptian_Mau_138,Egyptian_Mau,cat,train,128,127,16256,0.10799319727891156,1.0078740157480315,0.7745535714285714,0.23363095238095238,283,15,411,142,large,180.31361568112376,448,336
american_pit_bull_terrier_117,american_pit_bull_terrier,dog,train,193,172,33196,0.5560469011725293,1.122093023255814,0.505,0.5175879396984925,55,17,248,189,large,258.5207922005501,300,199
basset_hound_142,basset_hound,dog,train,195,216,42120,0.252972972972973,0.9027777777777778,0.617,0.3843843843843844,211,20,406,236,large,291.0,500,333
chihuahua_122,chihuahua,dog,train,115,119,13685,0.20274074074074075,0.9663865546218487,0.5183333333333333,0.34,98,17,213,136,large,165.48715962273326,300,225
keeshond_16,keeshond,dog,train,51,70,3570,0.01904,0.7285714285714285,0.529,0.33866666666666667,239,92,290,162,medium,86.6083136886985,500,375
basset_hound_129,basset_hound,dog,train,320,463,148160,0.8898498498498498,0.6911447084233261,0.5165165165165165,0.475,12,6,332,469,large,562.8223520792329,333,500
shiba_inu_146,shiba_inu,dog,train,100,143,14300,0.07626666666666666,0.6993006993006993,0.366,0.324,133,50,233,193,large,174.49641830135081,500,375
havanese_161,havanese,dog,train,277,246,68142,0.4092612612612613,1.1260162601626016,0.46396396396396394,0.288,16,21,293,267,large,370.46592285930967,333,500
beagle_117,beagle,dog,train,165,123,20295,0.12225903614457831,1.3414634146341464,0.527,0.3569277108433735,181,57,346,180,large,205.80087463370995,500,332
chihuahua_168,chihuahua,dog,train,206,158,32548,0.4374731182795699,1.3037974683544304,0.5564516129032258,0.27,35,2,241,160,large,259.61509971494337,248,300
Persian_128,Persian,cat,train,126,116,14616,0.08752095808383234,1.0862068965517242,0.42,0.2934131736526946,147,40,273,156,large,171.26587517658035,500,334
British_Shorthair_122,British_Shorthair,cat,train,151,167,25217,0.14576300578034682,0.9041916167664671,0.411,0.4031791907514451,130,56,281,223,large,225.1443981093023,500,346
leonberger_171,leonberger,dog,train,300,312,93600,0.5363896848137536,0.9615384615384616,0.344,0.46131805157593125,22,5,322,317,large,432.8325311249144,500,349
pug_127,pug,dog,train,223,196,43708,0.5416109045848823,1.1377551020408163,0.4683333333333333,0.44981412639405205,29,23,252,219,large,296.89223634174067,300,269
yorkshire_terrier_168,yorkshire_terrier,dog,train,180,171,30780,0.15506297229219143,1.0526315789473684,0.5088161209068011,0.459,112,144,292,315,large,248.276056034407,397,500
american_pit_bull_terrier_120,american_pit_bull_terrier,dog,train,76,83,6308,0.07200913242009133,0.9156626506024096,0.37,0.21746575342465754,73,22,149,105,large,112.53888216967503,300,292
boxer_133,boxer,dog,train,242,174,42108,0.22884782608695653,1.3908045977011494,0.446,0.5190217391304348,102,104,344,278,large,298.0603965641863,500,368
saint_bernard_167,saint_bernard,dog,train,172,149,25628,0.15392192192192192,1.1543624161073827,0.47,0.5330330330330331,149,103,321,252,large,227.56317804073663,500,333
Sphynx_111,Sphynx,cat,train,238,215,51170,0.3082530120481928,1.1069767441860465,0.5180722891566265,0.217,53,1,291,216,large,320.73197533142843,332,500
Bombay_10,Bombay,cat,train,198,221,43758,0.233376,0.8959276018099548,0.498,0.29733333333333334,150,1,348,222,large,296.7237772744207,500,375
Sphynx_162,Sphynx,cat,train,91,99,9009,0.051333333333333335,0.9191919191919192,0.335,0.21794871794871795,122,27,213,126,large,134.46932735757994,500,351
shiba_inu_101,shiba_inu,dog,train,78,101,7878,0.042016,0.7722772277227723,0.5173333333333333,0.543,155,221,233,322,large,127.61269529321916,375,500
beagle_125,beagle,dog,train,101,101,10201,0.061267267267267264,1.0,0.411,0.527027027027027,155,125,256,226,large,142.8355697996826,500,333
Maine_Coon_142,Maine_Coon,cat,train,94,78,7332,0.039104,1.205128205128205,0.582,0.28,244,66,338,144,large,122.14745187681976,500,375
pomeranian_169,pomeranian,dog,train,94,72,6768,0.103963133640553,1.3055555555555556,0.4608294930875576,0.20666666666666667,53,26,147,98,large,118.40608092492548,217,300
Siamese_141,Siamese,cat,train,213,245,52185,0.27832,0.8693877551020408,0.659,0.3293333333333333,223,1,436,246,large,324.64442086689246,500,375
pug_130,pug,dog,train,201,192,38592,0.5717333333333333,1.046875,0.5916666666666667,0.44,77,3,278,195,large,277.96582523756405,300,225
scottish_terrier_170,scottish_terrier,dog,train,266,304,80864,0.43127466666666664,0.875,0.558,0.408,146,1,412,305,large,403.9455408839167,500,375
boxer_161,boxer,dog,train,57,50,2850,0.014805194805194806,1.14,0.443,0.45454545454545453,193,150,250,200,medium,75.82216034906945,500,385
yorkshire_terrier_107,yorkshire_terrier,dog,train,246,235,57810,0.3472072072072072,1.0468085106382978,0.4624624624624625,0.381,31,73,277,308,large,340.20728975141026,333,500
newfoundland_159,newfoundland,dog,train,205,155,31775,0.16946666666666665,1.3225806451612903,0.555,0.444,175,89,380,244,large,257.00194551792794,500,375
Persian_122,Persian,cat,train,230,228,52440,0.34140625,1.0087719298245614,0.546875,0.2708333333333333,60,16,290,244,large,323.8579935712565,320,480
great_pyrenees_129,great_pyrenees,dog,train,93,100,9300,0.06019417475728155,0.93,0.795,0.3851132686084142,351,69,444,169,large,136.56134152826706,500,309
pomeranian_114,pomeranian,dog,train,61,78,4758,0.0801010101010101,0.782051282051282,0.39141414141414144,0.33666666666666667,47,62,108,140,large,99.02019995940222,198,300
scottish_terrier_14,scottish_terrier,dog,train,74,138,10212,0.054464,0.5362318840579711,0.43733333333333335,0.528,127,195,201,333,large,156.58863304850706,375,500
Birman_149,Birman,cat,train,232,232,53824,0.32424096385542167,1.0,0.5120481927710844,0.426,54,97,286,329,large,328.09754647055803,332,500
Sphynx_150,Sphynx,cat,train,209,202,42218,0.2543253012048193,1.0346534653465347,0.625,0.254,103,26,312,228,large,290.66303514551004,332,500
shiba_inu_112,shiba_inu,dog,train,44,54,2376,0.012672,0.8148148148148148,0.636,0.336,296,99,340,153,medium,69.65629906907199,500,375
