image_id,breed,species,split,center_x,center_y,xmin,ymin,xmax,ymax,normalized_area
american_pit_bull_terrier_158,american_pit_bull_terrier,dog,train,0.44473684210526315,0.24833333333333332,20,9,149,140,0.29647368421052633
american_pit_bull_terrier_12,american_pit_bull_terrier,dog,train,0.5599415204678363,0.26,99,59,284,201,0.15362573099415205
Maine_Coon_144,Maine_Coon,cat,train,0.5739957716701902,0.351,116,19,427,332,0.4115983086680761
keeshond_128,keeshond,dog,train,0.587,0.3483483483483483,244,80,343,152,0.04281081081081081
havanese_119,havanese,dog,train,0.71,0.6514657980456026,280,137,430,263,0.12312703583061889
scottish_terrier_147,scottish_terrier,dog,train,0.64,0.38,259,50,381,235,0.12037333333333333
leonberger_123,leonberger,dog,train,0.153,0.1674937965260546,19,24,134,111,0.04965260545905707
Maine_Coon_102,Maine_Coon,cat,train,0.665625,0.454,156,155,270,299,0.1026
Maine_Coon_161,Maine_Coon,cat,train,0.521,0.3993993993993994,165,31,356,235,0.23401801801801803
Russian_Blue_108,Russian_Blue,cat,train,0.35765124555160144,0.345,1,66,200,279,0.3016868327402135
Siamese_115,Siamese,cat,train,0.658,0.3582089552238806,239,30,419,210,0.19343283582089552
saint_bernard_100,saint_bernard,dog,train,0.41,0.4706666666666667,106,90,304,263,0.182688
Siamese_101,Siamese,cat,train,0.4266666666666667,0.334,126,128,194,206,0.028288
Egyptian_Mau_138,Egyptian_Mau,cat,train,0.7745535714285714,0.23363095238095238,283,15,411,142,0.10799319727891156
american_pit_bull_terrier_117,american_pit_bull_terrier,dog,train,0.505,0.5175879396984925,55,17,248,189,0.5560469011725293
basset_hound_142,basset_hound,dog,train,0.617,0.3843843843843844,211,20,406,236,0.252972972972973
chihuahua_122,chihuahua,dog,train,0.5183333333333333,0.34,98,17,213,136,0.20274074074074075
keeshond_16,keeshond,dog,train,0.529,0.33866666666666667,239,92,290,162,0.01904
basset_hound_129,basset_hound,dog,train,0.5165165165165165,0.475,12,6,332,469,0.8898498498498498
shiba_inu_146,shiba_inu,dog,train,0.366,0.324,133,50,233,193,0.07626666666666666
havanese_161,havanese,dog,train,0.46396396396396394,0.288,16,21,293,267,0.4092612612612613
beagle_117,beagle,dog,train,0.527,0.3569277108433735,181,57,346,180,0.12225903614457831
chihuahua_168,chihuahua,dog,train,0.5564516129032258,0.27,35,2,241,160,0.4374731182795699
Persian_128,Persian,cat,train,0.42,0.2934131736526946,147,40,273,156,0.08752095808383234
British_Shorthair_122,British_Shorthair,cat,train,0.411,0.4031791907514451,130,56,281,223,0.14576300578034682
leonberger_171,leonberger,dog,train,0.344,0.46131805157593125,22,5,322,317,0.5363896848137536
pug_127,pug,dog,train,0.4683333333333333,0.44981412639405205,29,23,252,219,0.5416109045848823
yorkshire_terrier_168,yorkshire_terrier,dog,train,0.5088161209068011,0.459,112,144,292,315,0.15506297229219143
american_pit_bull_terrier_120,american_pit_bull_terrier,dog,train,0.37,0.21746575342465754,73,22,149,105,0.07200913242009133
boxer_133,boxer,dog,train,0.446,0.5190217391304348,102,104,344,278,0.22884782608695653
