image_id,breed,species,split,total_pixels,fg_pixels,boundary_pixels,bg_pixels,fg_percentage,boundary_percentage,bg_percentage,mask_coverage,mask_height,mask_width
american_pit_bull_terrier_158,american_pit_bull_terrier,dog,train,57000,19309,27149,10542,33.87543859649123,47.62982456140351,18.494736842105265,0.8150526315789474,300,190
american_pit_bull_terrier_12,american_pit_bull_terrier,dog,train,171000,18594,131554,20852,10.873684210526315,76.93216374269007,12.194152046783625,0.8780584795321638,500,342
Maine_Coon_144,Maine_Coon,cat,train,236500,135004,68208,33288,57.08414376321353,28.840591966173363,14.075264270613108,0.8592473572938689,500,473
keeshond_128,keeshond,dog,train,166500,32372,118409,15719,19.442642642642642,71.11651651651651,9.44084084084084,0.9055915915915916,333,500
havanese_119,havanese,dog,train,153500,41382,102910,9208,26.958957654723125,67.04234527687296,5.998697068403909,0.9400130293159609,307,500
scottish_terrier_147,scottish_terrier,dog,train,187500,28488,135198,23814,15.193599999999998,72.10560000000001,12.700800000000001,0.872992,375,500
leonberger_123,leonberger,dog,train,201500,60198,108265,33037,29.874937965260546,53.72952853598015,16.395533498759303,0.8360446650124069,403,500
Maine_Coon_102,Maine_Coon,cat,train,160000,42082,95488,22430,26.30125,59.68,14.018749999999999,0.8598125,500,320
Maine_Coon_161,Maine_Coon,cat,train,166500,31272,113889,21339,18.781981981981982,68.4018018018018,12.816216216216217,0.8718378378378379,333,500
Russian_Blue_108,Russian_Blue,cat,train,140500,48622,61992,29886,34.60640569395018,44.12241992882562,21.2711743772242,0.787288256227758,500,281
Siamese_115,Siamese,cat,train,167500,56746,90514,20240,33.87820895522388,54.03820895522388,12.08358208955224,0.8791641791044776,335,500
saint_bernard_100,saint_bernard,dog,train,187500,64756,108948,13796,34.53653333333334,58.1056,7.357866666666666,0.9264213333333333,375,500
Siamese_101,Siamese,cat,train,187500,8891,163335,15274,4.741866666666667,87.112,8.146133333333333,0.9185386666666666,500,375
Egyptian_Mau_138,Egyptian_Mau,cat,train,150528,44713,84388,21427,29.704108205782315,56.06133078231292,14.234561011904761,0.8576543898809523,336,448
american_pit_bull_terrier_117,american_pit_bull_terrier,dog,train,59700,30963,21924,6813,51.8643216080402,36.72361809045226,11.412060301507537,0.8858793969849246,199,300
basset_hound_142,basset_hound,dog,train,166500,70814,83014,12672,42.530930930930936,49.85825825825826,7.610810810810811,0.9238918918918919,333,500
chihuahua_122,chihuahua,dog,train,67500,10909,50425,6166,16.16148148148148,74.70370370370371,9.134814814814815,0.9086518518518518,225,300
keeshond_16,keeshond,dog,train,187500,10377,167170,9953,5.5344,89.15733333333333,5.3082666666666665,0.9469173333333334,375,500
basset_hound_129,basset_hound,dog,train,166500,110577,35925,19998,66.4126126126126,21.576576576576574,12.010810810810812,0.8798918918918919,500,333
shiba_inu_146,shiba_inu,dog,train,187500,19037,155317,13146,10.153066666666668,82.83573333333332,7.0112,0.929888,375,500
havanese_161,havanese,dog,train,166500,86985,54169,25346,52.24324324324324,32.53393393393394,15.222822822822824,0.8477717717717718,500,333
beagle_117,beagle,dog,train,166000,28472,122828,14700,17.151807228915665,73.99277108433735,8.855421686746988,0.9114457831325301,332,500
chihuahua_168,chihuahua,dog,train,74400,28646,36877,8877,38.50268817204301,49.56586021505377,11.931451612903226,0.8806854838709678,300,248
Persian_128,Persian,cat,train,167000,65277,88413,13310,39.08802395209581,52.94191616766467,7.97005988023952,0.9202994011976048,334,500
British_Shorthair_122,British_Shorthair,cat,train,173000,40618,115481,16901,23.478612716763006,66.75202312138728,9.769364161849712,0.9023063583815029,346,500
leonberger_171,leonberger,dog,train,174500,130479,27587,16434,74.7730659025788,15.809169054441261,9.417765042979944,0.9058223495702006,349,500
pug_127,pug,dog,train,80700,36339,34670,9691,45.02973977695167,42.96158612143742,12.008674101610904,0.879913258983891,269,300
yorkshire_terrier_168,yorkshire_terrier,dog,train,198500,42939,140831,14730,21.631738035264483,70.94760705289673,7.420654911838791,0.9257934508816121,500,397
american_pit_bull_terrier_120,american_pit_bull_terrier,dog,train,87600,14342,60561,12697,16.37214611872146,69.13356164383562,14.494292237442922,0.8550570776255708,292,300
boxer_133,boxer,dog,train,184000,40031,134402,9567,21.755978260869565,73.0445652173913,5.199456521739131,0.9480054347826087,368,500
saint_bernard_167,saint_bernard,dog,train,166500,59335,97328,9837,35.63663663663664,58.45525525525525,5.908108108108108,0.9409189189189189,333,500
Sphynx_111,Sphynx,cat,train,166000,92606,51431,21963,55.78674698795181,30.982530120481925,13.230722891566266,0.8676927710843374,500,332
Bombay_10,Bombay,cat,train,187500,50364,120729,16407,26.8608,64.3888,8.750399999999999,0.912496,375,500
Sphynx_162,Sphynx,cat,train,175500,18040,142161,15299,10.279202279202279,81.0034188034188,8.717378917378918,0.9128262108262108,351,500
shiba_inu_101,shiba_inu,dog,train,187500,13495,159062,14943,7.197333333333333,84.83306666666667,7.969600000000001,0.920304,500,375
beagle_125,beagle,dog,train,166500,10703,131007,24790,6.428228228228228,78.6828828828829,14.888888888888888,0.8511111111111112,333,500
Maine_Coon_142,Maine_Coon,cat,train,187500,19212,146593,21695,10.2464,78.18293333333334,11.570666666666666,0.8842933333333334,375,500
pomeranian_169,pomeranian,dog,train,65100,18239,39408,7453,28.016897081413212,60.534562211981566,11.448540706605224,0.8855145929339477,300,217
Siamese_141,Siamese,cat,train,187500,68793,100223,18484,36.6896,53.452266666666674,9.858133333333335,0.9014186666666667,375,500
pug_130,pug,dog,train,67500,29125,31301,7074,43.148148148148145,46.37185185185185,10.48,0.8952,225,300
scottish_terrier_170,scottish_terrier,dog,train,187500,93786,74031,19683,50.0192,39.483200000000004,10.4976,0.895024,375,500
boxer_161,boxer,dog,train,192500,4289,185064,3147,2.228051948051948,96.13714285714285,1.634805194805195,0.983651948051948,385,500
yorkshire_terrier_107,yorkshire_terrier,dog,train,166500,76312,62455,27733,45.83303303303303,37.51051051051051,16.656456456456457,0.8334354354354354,500,333
newfoundland_159,newfoundland,dog,train,187500,76818,94484,16198,40.9696,50.39146666666666,8.638933333333334,0.9136106666666667,375,500
Persian_122,Persian,cat,train,153600,113364,20476,19760,73.8046875,13.330729166666666,12.864583333333332,0.8713541666666667,480,320
great_pyrenees_129,great_pyrenees,dog,train,154500,24420,113564,16516,15.805825242718447,73.50420711974111,10.689967637540452,0.8931003236245955,309,500
pomeranian_114,pomeranian,dog,train,59400,11776,42101,5523,19.824915824915827,70.87710437710437,9.297979797979798,0.9070202020202021,300,198
scottish_terrier_14,scottish_terrier,dog,train,187500,11297,165922,10281,6.025066666666667,88.49173333333333,5.4832,0.945168,500,375
Birman_149,Birman,cat,train,166000,86956,56944,22100,52.38313253012048,34.30361445783133,13.313253012048193,0.8668674698795181,500,332
Sphynx_150,Sphynx,cat,train,166000,44917,97789,23294,27.058433734939758,58.90903614457831,14.032530120481928,0.8596746987951808,500,332
shiba_inu_112,shiba_inu,dog,train,187500,9019,170716,7765,4.810133333333334,91.04853333333334,4.141333333333334,0.9585866666666667,375,500
Russian_Blue_122,Russian_Blue,cat,train,187500,48759,92239,46502,26.0048,49.19413333333333,24.801066666666667,0.7519893333333333,375,500
Sphynx_179,Sphynx,cat,train,230000,84911,112061,33028,36.917826086956524,48.72217391304348,14.360000000000001,0.8564,500,460
english_cocker_spaniel_128,english_cocker_spaniel,dog,train,187500,10082,171483,5935,5.377066666666667,91.4576,3.1653333333333333,0.9683466666666667,375,500
Maine_Coon_155,Maine_Coon,cat,train,166500,45471,103795,17234,27.30990990990991,62.33933933933934,10.35075075075075,0.8964924924924925,333,500
Maine_Coon_124,Maine_Coon,cat,train,166500,73337,61487,31676,44.04624624624625,36.92912912912913,19.024624624624625,0.8097537537537538,500,333
american_pit_bull_terrier_156,american_pit_bull_terrier,dog,train,46440,15084,24090,7266,32.48062015503876,51.87338501291989,15.645994832041342,0.8435400516795866,216,215
wheaten_terrier_167,wheaten_terrier,dog,train,187500,101808,62554,23138,54.2976,33.36213333333333,12.340266666666666,0.8765973333333333,375,500
Sphynx_176,Sphynx,cat,train,165000,77215,52128,35657,46.7969696969697,31.592727272727274,21.61030303030303,0.7838969696969696,500,330
basset_hound_171,basset_hound,dog,train,166500,82935,75003,8562,49.810810810810814,45.04684684684685,5.142342342342342,0.9485765765765766,333,500
Ragdoll_10,Ragdoll,cat,train,187500,43112,129418,14970,22.993066666666667,69.02293333333334,7.983999999999999,0.92016,375,500
Russian_Blue_135,Russian_Blue,cat,train,210500,52563,145738,12199,24.970546318289784,69.23420427553444,5.795249406175771,0.9420475059382423,421,500
Sphynx_160,Sphynx,cat,train,186000,35397,132293,18310,19.030645161290323,71.1252688172043,9.844086021505376,0.9015591397849463,372,500
japanese_chin_17,japanese_chin,dog,train,188500,48550,121733,18217,25.755968169761275,64.57984084880637,9.66419098143236,0.9033580901856764,377,500
german_shorthaired_117,german_shorthaired,dog,train,187500,98752,71769,16979,52.66773333333333,38.2768,9.055466666666668,0.9094453333333333,375,500
japanese_chin_159,japanese_chin,dog,train,177000,48548,110227,18225,27.428248587570618,62.27514124293785,10.296610169491526,0.8970338983050847,354,500
Abyssinian_158,Abyssinian,cat,train,187500,46526,119182,21792,24.813866666666666,63.56373333333334,11.622399999999999,0.883776,375,500
Bombay_130,Bombay,cat,train,84010,19353,53047,11610,23.036543268658495,63.14367337221759,13.819783359123914,0.8618021664087608,271,310
Maine_Coon_134,Maine_Coon,cat,train,166500,37742,100999,27759,22.66786786786787,60.66006006006006,16.672072072072073,0.8332792792792793,500,333
boxer_149,boxer,dog,train,187500,22259,151920,13321,11.871466666666667,81.024,7.104533333333333,0.9289546666666667,375,500
wheaten_terrier_118,wheaten_terrier,dog,train,187500,36613,129739,21148,19.526933333333332,69.19413333333333,11.278933333333335,0.8872106666666667,500,375
keeshond_136,keeshond,dog,train,211500,41657,154579,15264,19.69598108747045,73.0869976359338,7.217021276595744,0.9278297872340425,423,500
pug_172,pug,dog,train,67500,18377,37581,11542,27.225185185185186,55.675555555555555,17.09925925925926,0.8290074074074074,300,225
Ragdoll_131,Ragdoll,cat,train,183000,47323,106294,29383,25.859562841530053,58.08415300546448,16.056284153005464,0.8394371584699454,366,500
Abyssinian_1,Abyssinian,cat,train,240000,22938,198766,18296,9.5575,82.81916666666666,7.623333333333333,0.9237666666666666,400,600
scottish_terrier_168,scottish_terrier,dog,train,208500,21512,174459,12529,10.317505995203836,83.67338129496403,6.009112709832134,0.9399088729016787,417,500
Abyssinian_107,Abyssinian,cat,train,224000,76909,110366,36725,34.334375,49.270535714285714,16.395089285714285,0.8360491071428572,448,500
staffordshire_bull_terrier_100,staffordshire_bull_terrier,dog,train,206000,30918,146822,28260,15.00873786407767,71.27281553398058,13.718446601941746,0.8628155339805825,500,412
Maine_Coon_186,Maine_Coon,cat,train,163500,75039,57396,31065,45.8954128440367,35.1045871559633,19.0,0.81,500,327
Bengal_16,Bengal,cat,train,166500,73099,76385,17016,43.9033033033033,45.87687687687688,10.21981981981982,0.8978018018018018,333,500
Bengal_126,Bengal,cat,train,187000,39195,122257,25548,20.959893048128343,65.37807486631017,13.6620320855615,0.8633796791443851,374,500
miniature_pinscher_123,miniature_pinscher,dog,train,67500,23525,37104,6871,34.85185185185185,54.96888888888889,10.17925925925926,0.8982074074074075,300,225
shiba_inu_174,shiba_inu,dog,train,187500,27874,138867,20759,14.866133333333334,74.0624,11.071466666666668,0.8892853333333334,500,375
Birman_147,Birman,cat,train,166000,43890,105461,16649,26.43975903614458,63.53072289156626,10.029518072289157,0.8997048192771084,332,500
Sphynx_121,Sphynx,cat,train,167000,34163,103307,29530,20.45688622754491,61.86047904191617,17.682634730538922,0.8231736526946107,500,334
Russian_Blue_10,Russian_Blue,cat,train,81550,14559,54489,12502,17.852851011649296,66.81667688534641,15.330472103004292,0.8466952789699571,350,233
